region_acronym,M145,M146,M149
FS,0.0,2.0794415416798357,0.0
GENd,0.0,0.0,0.0
GENv,0.0,0.0,0.0
GPe,0.0,3.1780538303479458,0.0
GPi,0.0,2.995732273553991,0.0
GR,0.0,0.0,0.0
GRN,0.0,0.0,0.0
GU,0.0,0.0,0.6931471805599453
HATA,0.0,0.0,0.0
HB,0.0,0.0,0.0
HEM,0.0,0.0,0.0
HIP,0.0,0.0,0.0
HPF,2.1972245773362196,1.9459101490553132,0.6931471805599453
HY,0.0,2.8903717578961645,0.0
I5,0.0,0.0,0.0
IA,0.0,2.3978952727983707,0.0
IAD,0.0,0.0,0.0
IAM,0.0,0.0,0.0
IB,0.0,0.0,0.0
IC,0.0,0.0,0.0
ICB,0.0,0.0,0.0
ICc,0.0,0.0,0.0
ICd,0.0,0.0,0.0
ICe,0.0,0.0,0.0
IF,0.0,0.0,0.0
IG,0.0,0.0,0.6931471805599453
IGL,0.6931471805599453,0.0,0.0
III,0.0,0.0,0.0
IIIn,0.0,0.0,0.0
IIn,0.0,0.0,0.0
ILA,0.0,0.0,0.0
ILM,0.0,0.0,0.0
IMD,0.0,0.0,0.0
INC,0.0,0.0,0.0
INV,0.0,0.0,0.0
IO,0.0,0.0,0.0
IP,0.0,0.0,0.0
IPA,0.0,0.0,0.0
IPC,0.0,0.0,0.0
IPDL,0.0,0.0,0.0
IPDM,0.0,0.0,0.0
IPF,0.0,0.0,0.0
IPI,0.0,0.0,0.0
IPL,0.0,0.0,0.0
IPN,0.0,0.0,0.0
IPR,0.0,0.0,0.0
IPRL,0.0,0.0,0.0
IRN,0.0,0.0,0.0
ISN,0.0,0.0,0.0
IV,0.0,0.0,0.0
IVF,0.0,0.0,0.0
IVd,0.0,0.0,0.0
IVn,0.0,0.0,0.0
IXn,0.0,0.0,0.0
In,0.0,0.0,0.0
InCo,0.0,0.0,0.0
IntG,0.0,0.0,0.0
Isocortex,0.0,0.0,0.0
KF,0.0,0.0,0.0
LA,0.0,0.6931471805599453,0.0
LAT,0.0,0.0,0.0
LAV,0.0,0.0,0.0
LC,0.0,0.0,0.0
LD,2.4849066497880004,1.0986122886681098,0.0
LDT,0.0,0.0,0.0
LGd,0.0,0.0,0.0
LGd-co,2.6390573296152584,3.367295829986474,2.0794415416798357
LGd-ip,2.9444389791664403,1.3862943611198906,1.3862943611198906
LGd-sh,4.276666119016055,2.833213344056216,0.6931471805599453
LGv,3.5553480614894135,3.091042453358316,0.0
LGvl,0.0,0.0,0.0
LGvm,0.0,0.0,0.0
LH,0.0,0.0,0.0
LHA,0.0,4.59511985013459,0.0
LIN,0.0,0.0,0.0
LING,0.0,0.0,0.0
LIW,5.673323267171493,4.605170185988092,7.32052696227274
LM,0.0,0.0,0.0
LP,2.302585092994046,1.791759469228055,0.6931471805599453
LPO,0.0,0.0,0.6931471805599453
LRN,0.0,0.0,0.0
LRNm,0.0,0.0,0.0
LRNp,0.0,0.0,0.0
LS,0.0,0.0,0.0
LSS,0.0,0.0,0.0
LSX,0.0,0.0,0.0
LSc,0.0,0.0,0.0
LSr,0.0,0.0,0.0
LSv,0.0,0.0,0.0
LT,0.0,0.0,0.0
LTN,0.0,0.0,0.0
LZ,0.0,0.0,0.0
MA,0.0,0.0,0.0
MA3,0.0,0.0,0.0
MARN,0.0,0.0,0.0
MB,0.6931471805599453,0.6931471805599453,1.0986122886681098
MBO,0.0,0.0,0.0
