Totals,,Count,,
Region Acronym,Region Name,M145,M146,M149
RAmb,Midbrain raphe nuclei,0,0,0
RC,rhinocele,0,0,0
RCH,Retrochiasmatic area,1,0,0
RE,Nucleus of reuniens,0,3,0
REth,Retroethmoid nucleus,0,0,0
RH,Rhomboid nucleus,0,0,0
RHP,Retrohippocampal region,0,0,0
RL,Rostral linear nucleus raphe,0,0,0
RM,Nucleus raphe magnus,0,0,0
RN,Red nucleus,0,0,0
RO,Nucleus raphe obscurus,0,0,0
RPA,Nucleus raphe pallidus,0,0,0
RPF,Retroparafascicular nucleus,0,0,0
RPO,Nucleus raphe pontis,0,0,0
RR,"Midbrain reticular nucleus, retrorubral area",0,0,0
RSP,Retrosplenial area,0,0,0
RSPagl,"Retrosplenial area, lateral agranular part",96,33,183
RSPd,"Retrosplenial area, dorsal part",66,49,166
RSPv,"Retrosplenial area, ventral part",152,81,24
RT,Reticular nucleus of the thalamus,13,30,0
SAG,Nucleus sagulum,0,0,0
SBPV,Subparaventricular zone,0,0,0
SCH,Suprachiasmatic nucleus,0,0,0
SCO,Subcommissural organ,0,0,0
SCig,"Superior colliculus, motor related, intermediate gray layer",0,0,0
SCm,"Superior colliculus, motor related",0,0,1
SCs,"Superior colliculus, sensory related",0,0,64
SEZ,subependymal zone,0,0,0
SF,Septofimbrial nucleus,0,0,0
SFO,Subfornical organ,0,0,0
SG,Supragenual nucleus,0,0,0
SGN,Suprageniculate nucleus,0,0,0
SH,Septohippocampal nucleus,0,0,4
SI,Substantia innominata,0,43,1
SIM,Simple lobule,0,0,0
SLC,Subceruleus nucleus,0,0,0
SLD,Sublaterodorsal nucleus,0,0,0
SMT,Submedial nucleus of the thalamus,0,1,0
SNc,"Substantia nigra, compact part",0,0,0
SNl,"Substantia nigra, lateral part",0,0,0
SNr,"Substantia nigra, reticular part",0,0,0
SO,Supraoptic nucleus,0,3,0
SOC,Superior olivary complex,0,0,0
SOCl,"Superior olivary complex, lateral part",0,0,0
SOCm,"Superior olivary complex, medial part",0,0,0
SPA,Subparafascicular area,0,0,0
SPF,Subparafascicular nucleus,0,0,0
SPFm,"Subparafascicular nucleus, magnocellular part",0,0,0
SPFp,"Subparafascicular nucleus, parvicellular part",0,0,0
SPIV,Spinal vestibular nucleus,0,0,0
SPVC,"Spinal nucleus of the trigeminal, caudal part",0,0,0
SPVI,"Spinal nucleus of the trigeminal, interpolar part",0,0,0
SPVO,"Spinal nucleus of the trigeminal, oral part",0,0,0
SPVOcdm,"Spinal nucleus of the trigeminal, oral part, caudal dorsomedial part",0,0,0
SPVOmdmd,"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, dorsal zone",0,0,0
SPVOmdmv,"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, ventral zone",0,0,0
SPVOrdm,"Spinal nucleus of the trigeminal, oral part, rostral dorsomedial part",0,0,0
SPVOvl,"Spinal nucleus of the trigeminal, oral part, ventrolateral part",0,0,0
SS,Somatosensory areas,0,0,0
SSN,Superior salivatory nucleus,0,0,0
SSp,Primary somatosensory area,0,0,0
SSp-bfd,"Primary somatosensory area, barrel field",0,2,1
SSp-ll,"Primary somatosensory area, lower limb",0,0,2
SSp-m,"Primary somatosensory area, mouth",0,0,3
SSp-n,"Primary somatosensory area, nose",0,0,4
SSp-tr,"Primary somatosensory area, trunk",0,0,0
SSp-ul,"Primary somatosensory area, upper limb",0,0,1
SSp-un,"Primary somatosensory area, unassigned",0,0,0
SSs,Supplemental somatosensory area,3,1,2
STN,Subthalamic nucleus,0,0,0
STR,Striatum,8,23,1
STRd,Striatum dorsal region,0,0,0
STRv,Striatum ventral region,0,0,0
SUB,Subiculum,68,5,1
SUBd,"Subiculum, dorsal part",0,0,0
SUBd-sr,"Subiculum, dorsal part, stratum radiatum",0,0,0
SUBv,"Subiculum, ventral part",0,0,0
SUBv-sr,"Subiculum, ventral part, stratum radiatum",0,0,0
SUM,Supramammillary nucleus,0,0,0
SUMl,"Supramammillary nucleus, lateral part",0,0,0
SUMm,"Supramammillary nucleus, medial part",0,0,0
SUT,Supratrigeminal nucleus,0,0,0
